BATCH;91005;Клавиатура механическая;50;A-01;2026-09-20;;
Batch;91005;Клавиатура механическая;50;A-01;2026-09-20;;
Batch;91011;Мышь беспроводная;120;A-02;2026-09-21;;
ImportedBatch;91117;Монитор 24 дюйма;30;B-01;2026-09-22;Китай;8471607000
ImportedBatch;91002;Наушники Bluetooth;75;B-02;2026-09-23;Китай;8518309500
ArchivedBatch;90001;Старая клавиатура;10;C-01;2025-05-10;;
BATCH;91011;Мышь беспроводная;120;A-02;2026-09-21;;
IMPORTED;91117;Монитор 24 дюйма;30;B-01;2026-09-22;Китай;8471607000
IMPORTED;91002;Наушники Bluetooth;75;B-02;2026-09-23;Китай;8518309500
ARCHIVED;90001;Старая клавиатура;10;C-01;2025-05-10;;
